uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1608629922_1_GRV_S,Grevelingen,midden,2020-12-22 10:20:42,0.97,0.008,114,1.1,0.9,5,4.69,61193,413201,0.33,0.06,31.31,7.1,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1608631044_1_GRV_S,Grevelingen,midden,2020-12-22 10:39:24,1.08,0.008,142,1.1,0.9,5,4.68,59191,414807,0.35,0.03,31.29,7.06,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1608632167_1_GRV_S,Grevelingen,midden,2020-12-22 10:58:07,1.12,0.009,128,1.2,0.9,5,5.63,58066,416697,0.39,0.06,31.15,7.11,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1608633290_1_GRV_S,Grevelingen,west,2020-12-22 11:16:50,1.06,0.009,116,1.1,0.9,5,5.3,53703,418182,0.73,0.07,31.11,7.32,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593579920_1_GRV_S,Grevelingen,NA,2020-07-01 06:47:20,7.51,0.033,229,3.3,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593580740_1_GRV_S,Grevelingen,NA,2020-07-01 07:07:00,7.98,0.032,245,3.9,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593582465_1_GRV_S,Grevelingen,NA,2020-07-01 07:29:45,12.95,0.042,305,10.1,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593584044_1_GRV_S,Grevelingen,NA,2020-07-01 07:56:04,13.75,0.041,339,7.5,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593585220_1_GRV_S,Grevelingen,NA,2020-07-01 08:15:40,13.12,0.04,325,4.3,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593586470_1_GRV_S,Grevelingen,NA,2020-07-01 08:36:30,13.44,0.035,380,4.7,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593589535_1_GRV_S,Grevelingen,NA,2020-07-01 09:27:35,16.01,0.043,369,12.6,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593590757_1_GRV_S,Grevelingen,NA,2020-07-01 09:47:57,13.85,0.034,411,3.8,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593591980_1_GRV_S,Grevelingen,NA,2020-07-01 10:08:20,16.38,0.039,422,7.9,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596001249_1_GRV_S,Grevelingen,oost,2020-07-29 07:22:49,8.68,0.039,221,5.4,0.9,5,1266.73,63214,411802,0.98,1.06,31.58,20.04,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596005900_1_GRV_S,Grevelingen,west,2020-07-29 08:40:20,9.92,0.031,316,3.4,0.9,5,776.91,48784,418169,0.96,0.84,31.49,19.17,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596007291_1_GRV_S,Grevelingen,west,2020-07-29 09:03:31,11.6,0.033,347,3.7,0.9,5,920.87,50439,418517,0.95,0.85,31.46,19.28,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596008413_1_GRV_S,Grevelingen,west,2020-07-29 09:22:13,13.22,0.035,381,3.8,0.9,5,1017.01,52018,419583,1.03,0.82,31.46,19.25,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596009623_1_GRV_S,Grevelingen,midden,2020-07-29 09:42:23,12.83,0.029,438,3.4,0.9,5,859.82,56408,420406,0.81,0.66,31.46,19.2,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596010846_1_GRV_S,Grevelingen,midden,2020-07-29 10:02:46,12.77,0.043,294,8.1,1,5,2323.1,58912,415615,1.21,2.31,31.54,19.9,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596012443_1_GRV_S,Grevelingen,midden,2020-07-29 10:29:23,13.47,0.039,343,5.9,1,5,1581.03,60015,413963,1.5,2.96,31.57,20.16,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1596013841_1_GRV_S,Grevelingen,oost,2020-07-29 10:52:41,11.2,0.033,339,3.2,0.9,5,783.09,64851,412137,1.08,0.93,31.55,19.89,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602045595_1_GRV_S,Grevelingen,NA,2020-10-07 06:21:55,2.39,0.012,194,1.2,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602046818_1_GRV_S,Grevelingen,NA,2020-10-07 06:42:18,1.82,0.011,167,1.2,NA,5,NA,NA,NA,NA,NA,NA,NA,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602047911_1_GRV_S,Grevelingen,oost,2020-10-07 07:00:31,1.71,0.012,136,1.2,0.8,5,35.45,65159,412065,0.07,0.09,31.44,14.13,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602049135_1_GRV_S,Grevelingen,oost,2020-10-07 07:20:55,2.14,0.013,160,1.3,0.8,5,39.46,65159,412065,0.07,0.09,31.44,14.13,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
