uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1670479126_1_WS_S,Westerschelde,4,2022-12-08 06:45:16,5.5,0.018,312,1.2,3.7,5,4.44,59383,384218,24.62,0.72,21.92,8.09,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670480166_1_WS_S,Westerschelde,5,2022-12-08 07:01:06,4.39,0.016,279,1.1,3.3,5,3.99,60558,381841,20.98,0.69,21.33,8.19,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670481147_1_WS_S,Westerschelde,5,2022-12-08 07:17:27,3.81,0.011,359,1,3.3,5,2.95,60823,379382,20.96,0.67,20.35,8.25,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670482195_1_WS_S,Westerschelde,5,2022-12-08 07:33:25,3.57,0.01,370,1,3.7,5,2.03,61948,376969,24.55,0.71,19.64,8.24,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670483268_1_WS_S,Westerschelde,5,2022-12-08 07:51:18,1.75,0.005,359,0.9,3.2,5,1.22,64868,376168,20.31,0.61,18.22,8.46,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670484316_1_WS_S,Westerschelde,5,2022-12-08 08:08:46,0.94,0.002,458,0.9,3.6,5,0.46,67836,376484,23.47,0.61,17.01,8.69,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670485333_1_WS_S,Westerschelde,6,2022-12-08 08:27:13,6.84,0,NA,0.9,6.6,5,0,70736,378796,48.99,0.84,16.01,8.98,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670486383_1_WS_S,Westerschelde,7a,2022-12-08 08:43:13,15.5,0,NA,0.8,5.5,5,0,73005,378590,39.71,0.78,14.88,9.17,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670487433_1_WS_S,Westerschelde,7a,2022-12-08 09:00:43,8.55,0,NA,0.8,6.9,5,0,73501,376432,51.24,0.86,14.26,9.31,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670488482_1_WS_S,Westerschelde,7a,2022-12-08 09:18:12,14.93,0,NA,0.8,5.6,5,0,74606,374588,40.44,0.8,13.59,9.42,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670413746_1_WS_S,Westerschelde,1,2022-12-07 12:34:06,7.88,0.036,217,2.2,9.8,5,7.4,28570,381754,75.47,1.44,31.35,8.58,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670414624_1_WS_S,Westerschelde,1,2022-12-07 12:50:14,12.36,0.04,307,2,4.9,5,14.62,33979,381590,34.8,0.95,31.28,8.6,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670415951_1_WS_S,Westerschelde,3,2022-12-07 13:07:51,9.24,0.034,269,1.5,2.5,5,18.14,38524,378282,14.18,0.65,29.47,8.45,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670417123_1_WS_S,Westerschelde,3,2022-12-07 13:27:23,8.82,0.034,262,1.9,3.8,5,15.52,43855,375367,24.97,0.8,27.58,8.53,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670418246_1_WS_S,Westerschelde,3,2022-12-07 13:46:06,10.01,0.035,285,2.6,3.6,5,23.25,46529,374084,23.12,0.66,27.1,8.48,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670419367_1_WS_S,Westerschelde,4,2022-12-07 14:04:47,7.8,0.028,276,1.5,3.5,5,11.5,52381,375922,22.75,0.75,26.22,8.43,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1670420490_1_WS_S,Westerschelde,4,2022-12-07 14:25:00,6.56,0.024,277,1.7,4.3,5,9.27,56135,381171,29.26,0.77,25.6,8.36,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667980055_1_WS_S,Westerschelde,5,2022-11-09 08:32:35,6.08,0.019,323,1.5,3.2,5,15.76,65978,376162,19.93,0.76,18.1,13.75,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667981210_1_WS_S,Westerschelde,5,2022-11-09 08:48:50,5.83,0.017,340,1.6,4,5,13.11,68829,376721,27.29,0.83,17.89,13.9,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667982365_1_WS_S,Westerschelde,6,2022-11-09 09:08:05,5.37,0.017,325,1.7,5,5,11.31,72362,378288,35.2,0.79,15.75,14.27,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667983520_1_WS_S,Westerschelde,7a,2022-11-09 09:27:20,5.13,0.015,347,1.6,5.8,5,7.7,73950,375310,41.67,0.84,15.13,14.4,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667909525_1_WS_S,Westerschelde,1,2022-11-08 12:57:05,19.99,0.037,543,2.6,4.7,5,34.67,30188,381882,32.47,0.94,30.84,13.4,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667910532_1_WS_S,Westerschelde,1,2022-11-08 13:16:52,13.1,0.03,431,1.7,4.4,5,21.63,36056,381818,30.3,0.96,30.65,13.42,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667911634_1_WS_S,Westerschelde,3,2022-11-08 13:29:14,19.03,0.035,549,3.2,5.2,5,38.14,37974,378993,37.08,1.23,29.78,13.41,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667912703_1_WS_S,Westerschelde,3,2022-11-08 13:48:33,20.5,0.032,639,2.4,5.3,5,25.03,42173,376317,37.97,1.22,28.04,13.56,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667913539_1_WS_S,Westerschelde,3,2022-11-08 14:06:59,19.47,0.037,529,3.1,6.8,5,28.42,46222,374374,50.15,1.68,27.51,13.53,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667914692_1_WS_S,Westerschelde,3,2022-11-08 14:20:12,14.52,0.029,498,1.9,3.1,5,30.86,48137,373625,19.23,0.89,26.63,13.5,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667915685_1_WS_S,Westerschelde,4,2022-11-08 14:42:45,11.87,0.026,457,1.8,3.5,5,25.69,53481,376681,22.49,0.82,25.7,13.46,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667916510_1_WS_S,Westerschelde,4,2022-11-08 14:56:30,20.74,0.026,807,2,3.5,5,26.05,55537,379789,23.03,0.93,25.67,13.44,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1667917686_1_WS_S,Westerschelde,4,2022-11-08 15:10:06,14.3,0.027,536,1.9,4.2,5,22.27,57244,383136,28.68,0.98,25.74,13.44,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665648182_1_WS_S,Westerschelde,5,2022-10-13 09:48:02,12.9,0.027,486,2,2.9,5,27.67,60231,382673,17.23,1.3,22.17,15.14,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665649178_1_WS_S,Westerschelde,5,2022-10-13 10:06:08,8.15,0.02,414,2.1,3.1,5,24.76,60662,380294,18.98,1.21,20.97,15.16,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665650358_1_WS_S,Westerschelde,5,2022-10-13 10:21:18,11.43,0.027,422,2.1,2.8,5,30.14,60852,378376,16.38,1.1,20.24,15.21,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665651313_1_WS_S,Westerschelde,5,2022-10-13 10:40:13,8.69,0.021,411,1.9,3.1,5,20.29,62921,376616,19.71,1.03,19.18,15.27,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665652405_1_WS_S,Westerschelde,5,2022-10-13 10:56:55,7.96,0.019,409,1.7,2.6,5,20.63,65135,376143,15.02,0.95,17.52,15.48,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665653429_1_WS_S,Westerschelde,5,2022-10-13 11:15:29,6.56,0.019,350,1.6,3.1,5,15.48,67702,376418,19.05,0.95,17.06,15.59,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665654454_1_WS_S,Westerschelde,6,2022-10-13 11:32:34,6.34,0.017,376,1.9,4.3,5,12.69,70452,377786,29.55,1.08,16.22,15.76,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665655618_1_WS_S,Westerschelde,7a,2022-10-13 11:48:58,8.95,0.016,572,1.7,5,5,8.48,73004,377735,34.99,1,14.63,16.05,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665582119_1_WS_S,Westerschelde,1,2022-10-12 15:23:59,14.41,0.03,474,2.7,4.4,5,72.63,28289,381908,30.19,1.48,30.87,15.1,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665583991_1_WS_S,Westerschelde,1,2022-10-12 15:55:11,15.41,0.033,471,2.7,4.5,5,79.38,36533,381245,30.92,1.54,30.41,15.15,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665584913_1_WS_S,Westerschelde,3,2022-10-12 16:13:33,10.63,0.022,490,2.2,2,5,115.85,39653,377125,9.77,1.3,28.31,15.28,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665585912_1_WS_S,Westerschelde,3,2022-10-12 16:30:12,10.63,0.023,466,2.2,2.6,5,91.79,43795,374717,15.35,1.46,27.06,15.4,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665587897_1_WS_S,Westerschelde,3,2022-10-12 17:00:17,13.31,0.033,409,2.2,3.6,5,66.18,51335,375268,23.59,1.5,26.01,15.23,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1665589020_1_WS_S,Westerschelde,4,2022-10-12 17:19:00,13.92,0.031,452,2.4,3.9,5,70,55415,379135,25.67,1.93,25.82,15.23,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1664255661_1_WS_S,Westerschelde,5,2022-09-27 07:02:21,6.31,0.026,241,2.2,1.8,5,94.59,60412,382169,8.16,1.02,23.74,16.98,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1664256565_1_WS_S,Westerschelde,5,2022-09-27 07:15:55,9.89,0.028,348,2.1,1.7,5,113.35,60648,380203,7.2,1.03,22.63,16.93,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1664257466_1_WS_S,Westerschelde,5,2022-09-27 07:30:56,8.89,0.027,334,2.2,1.7,5,107.44,61059,378123,7.16,0.95,22.29,16.97,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1664260338_1_WS_S,Westerschelde,5,2022-09-27 08:14:18,8.56,0.022,386,2.1,2.1,5,77.72,66745,376329,10.5,0.84,19.68,17.05,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1664262342_1_WS_S,Westerschelde,6,2022-09-27 08:47:42,9.22,0.023,396,2.2,3.8,5,42.83,72180,378390,25.29,1.22,18.12,17.4,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1664263469_1_WS_S,Westerschelde,7a,2022-09-27 09:06:29,6.52,0.014,456,1.7,2.5,5,35.52,73474,376331,14.29,0.77,15.75,17.77,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
