uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1611645889_1_OS_S,Oosterschelde,oost,2021-01-26 08:06:49,2.07,0.018,114,1.4,1.1,5,33.3,60594,393986,2.2,0.13,30.62,4.56,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611647011_1_OS_S,Oosterschelde,oost,2021-01-26 08:25:31,1.86,0.017,107,1.4,1.1,5,32.18,65664,392604,2.39,0.17,30.6,4.33,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611648783_1_OS_S,Oosterschelde,oost,2021-01-26 08:55:03,1.88,0.018,105,1.3,1.1,5,30.87,66924,392078,2.02,0.15,30.62,4.43,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611649906_1_OS_S,Oosterschelde,oost,2021-01-26 09:13:46,2.28,0.017,135,1.4,1.1,5,33.2,63007,393767,2.13,0.19,30.57,4.47,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611651029_1_OS_S,Oosterschelde,oost,2021-01-26 09:32:29,2.34,0.019,123,1.2,1.2,5,25.41,58958,395324,2.96,0.1,30.77,4.58,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611652207_1_OS_S,Oosterschelde,midden,2021-01-26 09:52:07,2.12,0.017,121,1.1,1.2,5,22.9,54871,396461,3.11,0.05,30.77,4.71,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611653330_1_OS_S,Oosterschelde,midden,2021-01-26 10:10:50,2.13,0.015,143,1.1,1.2,5,20.15,52106,399408,3.36,0.03,30.86,4.82,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611654437_1_OS_S,Oosterschelde,west,2021-01-26 10:29:17,2.47,0.018,137,1.2,1.5,5,20.05,49731,402545,5.98,0.15,31.17,5.08,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611655667_1_OS_S,Oosterschelde,west,2021-01-26 10:49:47,2.84,0.014,201,1.1,1.4,5,19.37,45728,403382,4.62,0.07,31.17,5.07,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611656790_1_OS_S,Oosterschelde,west,2021-01-26 11:08:30,2.66,0.02,132,1.1,1.6,5,19.01,41854,402949,6.77,0.05,31.34,5.24,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611657834_1_OS_S,Oosterschelde,west,2021-01-26 11:25:54,2.52,0.018,141,1.4,2.8,5,14.84,39603,402731,16.81,0.19,31.41,5.22,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611659010_1_OS_S,Oosterschelde,west,2021-01-26 11:45:30,2.78,0.016,178,1.2,2.2,5,15.52,43580,404735,11.72,0.1,31.37,5.18,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
