uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1643012667_1_VM_S,VeerseMeer,oost,2022-01-24 09:06:27,2.55,0.012,220,1.5,0.8,5,20.02,45403,396453,0,0.44,24.33,5.21,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643013790_1_VM_S,VeerseMeer,midden,2022-01-24 09:25:10,1.93,0.02,98,1.7,0.8,5,33.16,42869,397313,0.15,0.49,24.19,5.33,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643015095_1_VM_S,VeerseMeer,midden,2022-01-24 09:46:55,1.85,0.015,120,1.7,0.8,5,34.52,40463,396327,0.08,0.46,24.05,5.07,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643016277_1_VM_S,VeerseMeer,midden,2022-01-24 10:06:37,7.04,0.016,432,1.8,0.8,5,38,40058,395939,0.08,0.46,24.39,5.26,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643017400_1_VM_S,VeerseMeer,midden,2022-01-24 10:25:20,3.99,0.02,194,1.7,0.8,5,38.88,38336,394021,0.07,0.57,24.42,5.23,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643019605_1_VM_S,VeerseMeer,west,2022-01-24 11:02:05,2.56,0.015,167,1.7,0.8,5,38.54,36650,396060,0.1,0.49,24.71,5.36,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643020795_1_VM_S,VeerseMeer,west,2022-01-24 11:21:55,6.13,0.017,360,1.8,0.8,5,38.56,35464,397407,0,0.38,25.5,5.77,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643021755_1_VM_S,VeerseMeer,west,2022-01-24 11:39:25,2.08,0.018,118,1.6,0.8,5,29.7,34548,398330,-0.01,0.45,25.08,5.51,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1643022926_1_VM_S,VeerseMeer,west,2022-01-24 11:57:26,0.94,0.006,148,1.2,0.8,5,11.42,33875,398943,0.01,0.5,24.9,5.44,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1661158567_1_VM_S,VeerseMeer,oost,2022-08-22 10:38:07,8.25,0.041,202,4.7,0.9,5,850.93,48300,396329,0.67,1.83,31.91,22.24,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1661159690_1_VM_S,VeerseMeer,oost,2022-08-22 10:56:50,9.7,0.032,305,4.8,0.9,5,885.66,46779,397136,0.52,2.18,31.75,22.63,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1661160813_1_VM_S,VeerseMeer,oost,2022-08-22 11:15:33,9.1,0.034,268,4.5,0.9,5,816.1,45145,396389,0.62,1.76,31.51,22.59,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
