CompCode,POINT_X,POINT_Y
1,28324.083,385577.4329
,,
1,28380.0831,385531.4329
,,
1,28451.0829,385460.4328
,,
1,28506.0828,385408.4329
,,
1,28513.0829,385387.4329
,,
1,28540.0829,385314.4329
,,
1,28567.0827,385245.433
,,
1,28591.0827,385175.433
,,
1,28607.0827,385127.4331
,,
1,28624.0827,385081.4332
,,
1,28642.0826,385050.4331
,,
1,28670.0827,385031.433
,,
1,28741.0826,385011.4331
,,
1,28826.0826,384988.433
,,
1,28878.0826,384973.4331
,,
1,28919.0825,384960.4331
,,
1,28962.0825,384933.4332
,,
1,29015.0825,384898.4332
,,
1,29045.0824,384866.4331
,,
1,29057.9305,384812.0757
,,
1,29072.0396,384816.861
,,
1,29076.0824,384818.4332
,,
1,29133.7082,384836.0542
,,
1,29194.8167,384855.0053
,,
1,29111.7219,384989.4108
,,
1,29114.2646,384990.1369
,,
1,29114.0825,384990.4331
,,
1,29198.889,385014.3044
,,
1,29247.1922,385028.0992
,,
1,29310.5512,385046.4389
,,
1,29348.0822,385057.4328
,,
1,29381.0825,385035.4329
,,
1,29441.0822,384980.4329
,,
1,29499.0498,384951.4491
,,
1,29508.188,385028.0388
,,
1,29521.0916,385031.2289
,,
1,29573.0822,385044.4328
,,
1,29628.0822,385057.4328
,,
1,29683.0822,385069.4327
,,
1,29781.8127,385086.6032
,,
1,29818.4332,385093.1662
,,
1,29996.3252,385129.1362
,,
1,29996.6567,385129.1426
,,
1,29998.082,385129.4325
,,
1,30068.0822,385131.4325
,,
1,30168.082,385114.4326
,,
1,30233.0821,385089.4326
,,
1,30280.082,385059.4325
,,
1,30343.0819,384986.4325
,,
1,30390.0004,384970.4602
,,
1,30436.607,384992.0775
,,
1,30487.1163,385042.5778
,,
1,30555.1123,385043.2033
,,
1,30555.725,385042.8461
,,
1,30557.0818,385043.4325
,,
1,30633.0817,384999.4325
,,
1,30683.0817,384962.4325
,,
1,30753.0817,384939.4325
,,
1,30802.458,384938.4643
,,
1,31071.3644,385176.6447
,,
1,31071.839,385176.328
,,
1,31073.0817,385177.4322
,,
1,31372.0815,384977.4322
,,
1,31433.0814,384975.4322
,,
1,31657.6531,385020.1091
,,
1,31998.5983,385088.2459
,,
1,32020.5325,385092.6273
,,
1,32052.0813,385099.4319
,,
1,32063.397,385047.2049
,,
1,32069.5061,385126.7152
,,
1,32071.6503,385122.0148
,,
1,32072.0812,385127.432
,,
1,32106.0812,385051.4319
,,
1,32349.3908,385033.4828
,,
1,32512.5524,385136.8437
,,
1,32540.3001,385145.4177
,,
1,32575.0809,385156.4317
,,
1,32763.0809,385075.4316
,,
1,32920.0809,385095.4316
,,
1,32978.0807,385069.4316
,,
1,33425.9562,385238.4863
,,
1,33535.0148,385279.7267
,,
1,33594.8261,385419.6019
,,
1,33635.6304,385460.7896
,,
1,33643.1595,385726.1644
,,
1,33742.307,385829.1025
,,
1,33743.9147,385829.2582
,,
1,33744.0807,385829.4307
,,
1,33810.8554,385836.4071
,,
1,33875.0644,385860.9473
,,
1,34036.6961,385975.4172
,,
1,34037.985,385975.6528
,,
1,34039.0806,385976.4306
,,
1,34094.556,385986.1631
,,
1,34141.464,386001.7081
,,
1,34197.0805,386020.4305
,,
1,34286.0806,386001.4305
,,
1,34263.0806,385963.4305
,,
1,34334.0806,385915.4305
,,
1,34365.0805,385919.4305
,,
1,34409.2477,385879.6799
,,
1,34377.1139,385934.1387
,,
1,34652.2953,386174.1717
,,
1,34680.2404,386207.3283
,,
1,34681.8587,386207.1688
,,
1,34682.0804,386207.4301
,,
2,37483.8444,378280.5193
,,
2,37630.7873,377846.6992
,,
2,37969.5422,377307.7805
,,
2,38754.8345,376445.5118
,,
2,39580.9539,375898.4965
,,
2,39894.2746,375691.0311
,,
2,40972.121,375259.9021
,,
2,41714.4733,374980.3573
,,
2,41511.6119,374452.6309
,,
2,41503.9572,374456.4598
,,
2,41485.0979,374461.0846
,,
2,41448.6721,374462.4594
,,
2,41420.3284,374464.3967
,,
2,41384.3245,374466.3026
,,
2,41378.4026,374466.8338
,,
