DateTimeStartAms;PBmax_EP;alfaB_EP;Eopt_EP;Ek;KdTurb;Chl_Frrf_Recalc;XScanfish;YScanfish;TURBIDScanfish;CHFLYSIScanfish;SALNTTScanfish;meetpuntnaam;Kd;chla_lims;productionMgC;slopeRecalcChlFrrf;offsetCalcKdFromTurbiditeit;slopeCalcKdFromTurbiditeit;conversionEtoC;Chl
2021-09-01 11:08:36;10.155365913411032;0.029079962275019893;1234.1685006674675;349.22211443632574;1.1369012;2.32353525;  53035; 376426;2.72;0.8700000000000001;22.75;;;;316.276115272463;0.42439;0.81469;0.11846;5;5.475
2021-09-01 11:24:36;8.353172890524196;0.025259354339702878;613.5776546102685;330.6962156746265;1.0776712000000002;2.31759379;  55439; 379321;2.22;0.8200000000000001;22.49;;;;329.1613500092641;0.42439;0.81469;0.11846;5;5.461
2021-09-01 11:42:06;8.063207153234904;0.023344684771639673;584.9318593519359;345.39798811207356;1.3062989999999999;2.56119365;  57186; 383017;4.1499999999999995;0.9;20.979999999999997;;;;286.45750931364984;0.42439;0.81469;0.11846;5;6.035
2021-09-13 11:53:45;9.937120204434844;0.03039659095061416;976.7395264337598;326.9156143391161;1.9684903999999999;3.8156904899999997;  60829; 382745;9.739999999999998;0.93;18.310000000000002;;;;542.3447188518231;0.42439;0.81469;0.11846;5;8.991
2021-09-13 12:12:28;10.430422188555742;0.03147515649387012;1227.5400882787872;331.3858722382237;1.8287076;3.58779306;  62875; 380036;8.56;0.93;17.51;;;;547.1238061569363;0.42439;0.81469;0.11846;5;8.454
2021-09-13 12:31:11;10.37495155488725;0.03006260070048112;1147.1762573582937;345.1115776128181;2.1509188;3.2525249599999997;  65012; 377735;11.28;0.69;16.62;;;;416.50517816572557;0.42439;0.81469;0.11846;5;7.664
2021-09-13 12:49:24;9.130989491719387;0.02585990698270787;1107.221857681427;353.09444453242395;1.620218;2.63418873;  66931; 376280;6.8;0.46;14.79;;;;392.5575089701174;0.42439;0.81469;0.11846;5;6.207
2021-09-13 13:08:27;;;;;2.0312742;2.6481936;  69575; 377319;10.27;0.54;14.7;;;;;0.42439;0.81469;0.11846;5;6.24
2021-09-13 13:19:40;8.613123984807121;0.027206690360439812;1323.3148332078363;316.58110085051464;2.8474636;2.6142424;  71171; 378266;17.16;0.48000000000000004;12.88;;;;213.4532317148014;0.42439;0.81469;0.11846;5;6.16
2021-09-13 13:38:22;6.949419976346425;0.023052789237010308;956.6469989822904;301.45679574380597;2.5963284;2.3184425699999998;  73099; 377622;15.04;0.38;11.94;;;;182.10849752564008;0.42439;0.81469;0.11846;5;5.463
2021-09-16 09:47:12;9.334573850665874;0.03099723471956161;1999.9995547862554;301.1421481663669;3.4006718000000005;3.02972021;  29700; 382146;21.830000000000002;2.22;29.79;VLISSGBISSVH;-999;;231.47505926270134;0.42439;0.81469;0.11846;5;7.139
2021-09-16 10:05:55;9.143014241690016;0.036468467346301756;829.5472268954123;250.7101314368015;4.221599599999999;4.19976344;  34994; 382269;28.759999999999998;2.61;29.53;VLISSGBISSVH;-999;;316.20848668513383;0.42439;0.81469;0.11846;5;9.896
2021-09-16 10:29:27;13.912514090200995;0.038232135819187274;1495.0826781020746;363.8958115235306;1.3513138;4.9780947;  39016; 377891;4.53;1.94;27.17;;;;1348.173315095717;0.42439;0.81469;0.11846;5;11.73
2021-09-16 10:48:09;12.073174451643604;0.037236101712234515;1022.2576909823096;324.2330398855037;1.8488457999999999;5.6358992;  42931; 375886;8.729999999999999;1.61;25.979999999999997;;;;1099.8604479966707;0.42439;0.81469;0.11846;5;13.28
2021-09-16 11:06:52;11.88411845637055;0.03567376239637205;1017.2273899228519;333.1333074522899;1.2328538;4.4773145;  46090; 374482;3.53;1.26;23.7;TERNZBI20;1.94;;1275.5040139143991;0.42439;0.81469;0.11846;5;10.55
2021-09-16 11:31:10;13.707809840026593;0.035210922614138676;1412.8093932566976;389.3056137791268;1.4046208;4.16284151;  46305; 374334;4.98;1.56;24.9;TERNZBI20;1.94;;1042.9175514512106;0.42439;0.81469;0.11846;5;9.809
2021-09-16 11:49:52;12.941322929981965;0.03509115198441291;1007.401970348589;368.79162404615136;1.5941568;4.19254881;  49999; 374453;6.58;1.3;24.71;TERNZBI20;1.94;;962.5999515212849;0.42439;0.81469;0.11846;5;9.879
2021-09-16 12:12:43;11.992533672728557;0.03483954797248475;993.3881712399876;344.2218504729139;1.4259435999999999;4.202309779999999;  54289; 377367;5.159999999999999;1.26;23.89;;;;1034.5101791103227;0.42439;0.81469;0.11846;5;9.902
2021-09-16 12:30:04;15.43976308235641;0.03576251865979887;1999.9993464273996;431.7303048264455;2.0798427999999998;4.0244903700000005;  55807; 380722;10.68;1.58;22.39;;;;684.4919116839926;0.42439;0.81469;0.11846;5;9.483
2021-09-29 10:21:09;;;;;1.2600996;1.782438;  60201; 383629;3.7600000000000002;0.43000000000000005;21.69;;;;;0.42439;0.81469;0.11846;5;4.2
2021-09-29 10:38:57;3.5182276424753005;0.025591374309382985;323.8452483352294;137.47708895748343;1.2897146;1.86476966;  61909; 381042;4.01;0.41000000000000003;21.17;;;;170.9876633418934;0.42439;0.81469;0.11846;5;4.394
2021-09-29 10:53:42;3.7420099321319;0.020634968821675325;346.9908834195229;181.3431347762071;1.3880363999999998;1.75442826;  63851; 379369;4.84;0.45;19.54;;;;142.58076738179858;0.42439;0.81469;0.11846;5;4.134
2021-09-29 11:08:58;5.88060589597074;0.02044703967969993;844.0477843336399;287.6018234467984;1.4294973999999998;1.78455995;  65334; 377229;5.1899999999999995;0.42000000000000004;18.56;;;;151.14721514082015;0.42439;0.81469;0.11846;5;4.205
2021-09-29 11:31:36;4.365665290952412;0.018880074995686093;679.5501187770644;231.2313532626286;1.2790532;1.5935844499999998;  68748; 376838;3.92;0.29000000000000004;17.62;;;;129.97000193745762;0.42439;0.81469;0.11846;5;3.755
2021-09-29 11:45:32;3.9141239171882276;0.013898543031939709;488.0152200287442;281.6211676427759;2.1935643999999996;1.5507210599999999;  71283; 378305;11.639999999999999;0.32;16.29;;;;65.67107187672141;0.42439;0.81469;0.11846;5;3.654
2021-09-29 12:04:59;2.505708520463112;0.010425521917338957;543.2570811702415;240.34370080751575;1.4259435999999999;1.34361874;  73462; 376543;5.159999999999999;0.21000000000000002;14.27;;;;58.279144180019856;0.42439;0.81469;0.11846;5;3.166
2021-10-11 12:00:15;7.544230379927444;0.026801942504918085;1034.9790090870733;281.4807314262053;3.4575326000000004;2.5743497399999997;  61055; 382608;22.310000000000002;1.56;18.32;;;;50.19474155225074;0.42439;0.81469;0.11846;5;6.066
2021-10-11 12:18:58;7.195288672908151;0.025118963496324163;732.1880200272774;286.44847045385006;3.628115;2.4300571399999997;  63284; 379708;23.75;1.41;18.08;;;;45.771598858259566;0.42439;0.81469;0.11846;5;5.726
2021-10-11 12:37:40;8.02224148266454;0.02645642560139645;1999.9997770098644;303.22469117827853;3.4942552;2.1601451;  65507; 376911;22.62;1.24;16.330000000000002;;;;38.84115019104208;0.42439;0.81469;0.11846;5;5.09
2021-10-11 12:57:05;;;;;3.5286086;1.7616428899999999;  68250; 376551;22.91;1.04;14.5;;;;;0.42439;0.81469;0.11846;5;4.151
2021-10-11 13:06:44;3.9987391218994786;0.015218929960363916;467.14277210489973;262.747718289904;3.5025474;1.71241365;  69823; 377400;22.69;0.99;13.9;;;;21.846352515264442;0.42439;0.81469;0.11846;5;4.035
2021-10-11 13:26:41;3.187794785934024;0.010360317761888912;456.74837494556095;307.6927618630125;4.3258444;1.56090642;  72962; 377790;29.64;0.9400000000000001;12.02;;;;12.05932021253407;0.42439;0.81469;0.11846;5;3.678
2021-10-14 08:08:19;4.80449761444215;0.028506699789431617;357.89582615327566;168.5392434035222;1.6320640000000002;1.7145356;  29987; 382209;6.9;0.96;30.79;VLISSGBISSVH;-999;;59.663398448165445;0.42439;0.81469;0.11846;5;4.04
2021-10-14 08:25:46;4.8820854441895465;0.02882379817110254;485.08951286374037;169.37689527274406;2.8569404;2.06338418;  34699; 382549;17.24;1.23;30.17;VLISSGBISSVH;-999;;38.98951068445965;0.42439;0.81469;0.11846;5;4.862
2021-10-14 08:47:04;5.633537130392779;0.031680325011408814;1999.99940077176;177.82447397127436;1.4093592;1.7145356;  38429; 378868;5.02;0.76;28.07;;;;61.515559026686546;0.42439;0.81469;0.11846;5;4.04
