gebied;compartiment;datetime;X_RD;Y_RD;date_added;source;script;parameter;unit;method;value
Westerschelde;1;1991-04-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;462.359242606463
Westerschelde;1;1991-04-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;3.392
Westerschelde;1;1991-04-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;6.55078057379158
Westerschelde;1;1991-04-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0379346348928099
Westerschelde;1;1991-04-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;24.16
Westerschelde;1;1991-04-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;1004.5179309444142
Westerschelde;1;1991-05-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;379.062434299546
Westerschelde;1;1991-05-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.555
Westerschelde;1;1991-05-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;14.7992747743092
Westerschelde;1;1991-05-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0710361553623442
Westerschelde;1;1991-05-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;22.711
Westerschelde;1;1991-05-02T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;6586.805487496617
Westerschelde;1;1991-05-15T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;423.114290386091
Westerschelde;1;1991-05-15T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.275
Westerschelde;1;1991-05-15T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;8.47502771375821
Westerschelde;1;1991-05-15T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0391750444516272
Westerschelde;1;1991-05-15T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;15.23
Westerschelde;1;1991-05-15T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;2819.801308572311
Westerschelde;1;1991-05-29T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;445.281917260062
Westerschelde;1;1991-05-29T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;0.989
Westerschelde;1;1991-05-29T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;8.30341333102438
Westerschelde;1;1991-05-29T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0304195272014137
Westerschelde;1;1991-05-29T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;14.12
Westerschelde;1;1991-05-29T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;4099.374524319772
Westerschelde;1;1991-06-06T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;437.208306753758
Westerschelde;1;1991-06-06T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;0.834
Westerschelde;1;1991-06-06T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;9.21149910828565
