gebied;compartiment;datetime;X_RD;Y_RD;source;license;method;date_added;script;parameter;value;unit
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;7.15;NTU
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;14.2;ug/l
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.33;PSU
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.7;/m
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;20.04;NTU
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;12.2;ug/l
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.11;PSU
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;3.2;/m
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;9.92;NTU
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;22.9;ug/l
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;27.22;PSU
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2;/m
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;6.13;NTU
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;17.5;ug/l
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;24.27;PSU
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.5;/m
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.55;NTU
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;15;ug/l
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;23.62;PSU
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;10.9;NTU
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;13.1;ug/l
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;22.8;PSU
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.1;/m
Westerschelde;4;2020-04-16T10:43:01Z;54424;54424;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;8.86;NTU
Westerschelde;4;2020-04-16T10:43:01Z;54424;54424;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;12.2;ug/l
Westerschelde;4;2020-04-16T10:43:01Z;54424;54424;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;21.93;PSU
Westerschelde;4;2020-04-16T10:43:01Z;54424;54424;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.9;/m
Westerschelde;4;2020-04-16T11:01:44Z;56284;56284;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;8.66;NTU
Westerschelde;4;2020-04-16T11:01:44Z;56284;56284;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;10.2;ug/l
Westerschelde;4;2020-04-16T11:01:44Z;56284;56284;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;21.65;PSU
Westerschelde;4;2020-04-16T11:01:44Z;56284;56284;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.8;/m
Westerschelde;5;2020-04-28T11:17:13Z;59809;59809;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;10.03;NTU
Westerschelde;5;2020-04-28T11:17:13Z;59809;59809;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;6.8;ug/l
Westerschelde;5;2020-04-28T11:17:13Z;59809;59809;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;16.89;PSU
Westerschelde;5;2020-04-28T11:17:13Z;59809;59809;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2;/m
Westerschelde;5;2020-04-28T11:35:56Z;61943;61943;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;15.56;NTU
Westerschelde;5;2020-04-28T11:35:56Z;61943;61943;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;6.4;ug/l
Westerschelde;5;2020-04-28T11:35:56Z;61943;61943;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;16.2;PSU
Westerschelde;5;2020-04-28T11:35:56Z;61943;61943;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.7;/m
Westerschelde;5;2020-04-28T11:54:39Z;64523;64523;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;12.6;NTU
Westerschelde;5;2020-04-28T11:54:39Z;64523;64523;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;6.3;ug/l
Westerschelde;5;2020-04-28T11:54:39Z;64523;64523;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;14.94;PSU
Westerschelde;5;2020-04-28T11:54:39Z;64523;64523;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.3;/m
Westerschelde;5;2020-04-28T12:14:11Z;66793;66793;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;11.07;NTU
Westerschelde;5;2020-04-28T12:14:11Z;66793;66793;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;3.7;ug/l
Westerschelde;5;2020-04-28T12:14:11Z;66793;66793;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;12.66;PSU
Westerschelde;5;2020-04-28T12:14:11Z;66793;66793;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.1;/m
Westerschelde;6;2020-04-28T12:32:54Z;69821;69821;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.49;NTU
Westerschelde;6;2020-04-28T12:32:54Z;69821;69821;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;3.2;ug/l
Westerschelde;6;2020-04-28T12:32:54Z;69821;69821;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;11.79;PSU
Westerschelde;6;2020-04-28T12:32:54Z;69821;69821;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;6;2020-04-28T12:51:37Z;72483;72483;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;29.06;NTU
Westerschelde;6;2020-04-28T12:51:37Z;72483;72483;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;3.2;ug/l
Westerschelde;6;2020-04-28T12:51:37Z;72483;72483;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;10.5;PSU
Westerschelde;6;2020-04-28T12:51:37Z;72483;72483;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;4.3;/m
Westerschelde;7a;2020-04-28T13:10:20Z;73645;73645;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;18.19;NTU
Westerschelde;7a;2020-04-28T13:10:20Z;73645;73645;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;3.2;ug/l
Westerschelde;7a;2020-04-28T13:10:20Z;73645;73645;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;9.23;PSU
Westerschelde;7a;2020-04-28T13:10:20Z;73645;73645;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;3;/m
Westerschelde;9;2020-04-28T13:29:20Z;75838;75838;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;39.24;NTU
Westerschelde;9;2020-04-28T13:29:20Z;75838;75838;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;1.6;ug/l
Westerschelde;9;2020-04-28T13:29:20Z;75838;75838;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;8.49;PSU
Westerschelde;9;2020-04-28T13:29:20Z;75838;75838;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;5.5;/m
Westerschelde;1;2020-04-30T05:39:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;12.63;NTU
Westerschelde;1;2020-04-30T05:39:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;12.1;ug/l
Westerschelde;1;2020-04-30T05:39:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.47;PSU
Westerschelde;1;2020-04-30T05:39:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.3;/m
Westerschelde;1;2020-04-30T06:14:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;12.63;NTU
Westerschelde;1;2020-04-30T06:14:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;23.6;ug/l
Westerschelde;1;2020-04-30T06:14:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.47;PSU
Westerschelde;1;2020-04-30T06:14:17Z;28297;28297;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.3;/m
Westerschelde;1;2020-04-30T06:33:00Z;31888;31888;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;29.51;NTU
Westerschelde;1;2020-04-30T06:33:00Z;31888;31888;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;31.4;ug/l
Westerschelde;1;2020-04-30T06:33:00Z;31888;31888;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.28;PSU
Westerschelde;1;2020-04-30T06:33:00Z;31888;31888;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;4.3;/m
Westerschelde;3;2020-04-30T06:51:43Z;37124;37124;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;45.57;NTU
Westerschelde;3;2020-04-30T06:51:43Z;37124;37124;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;25.6;ug/l
Westerschelde;3;2020-04-30T06:51:43Z;37124;37124;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;28.93;PSU
Westerschelde;3;2020-04-30T06:51:43Z;37124;37124;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;6.2;/m
Westerschelde;3;2020-04-30T07:10:26Z;40576;40576;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;10.5;NTU
Westerschelde;3;2020-04-30T07:10:26Z;40576;40576;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;24.7;ug/l
Westerschelde;3;2020-04-30T07:10:26Z;40576;40576;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;26.11;PSU
Westerschelde;3;2020-04-30T07:10:26Z;40576;40576;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.1;/m
Westerschelde;3;2020-04-30T07:29:09Z;45378;45378;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.95;NTU
Westerschelde;3;2020-04-30T07:29:09Z;45378;45378;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;24.4;ug/l
Westerschelde;3;2020-04-30T07:29:09Z;45378;45378;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;24.9;PSU
Westerschelde;3;2020-04-30T07:29:09Z;45378;45378;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.5;/m
Westerschelde;3;2020-04-30T07:47:52Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.7;NTU
Westerschelde;3;2020-04-30T07:47:52Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;26.7;ug/l
Westerschelde;3;2020-04-30T07:47:52Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;24.91;PSU
Westerschelde;3;2020-04-30T07:47:52Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;3;2020-04-30T08:06:35Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.7;NTU
Westerschelde;3;2020-04-30T08:06:35Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;24.5;ug/l
Westerschelde;3;2020-04-30T08:06:35Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;24.91;PSU
Westerschelde;3;2020-04-30T08:06:35Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;3;2020-04-30T08:25:18Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.7;NTU
Westerschelde;3;2020-04-30T08:25:18Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;22.8;ug/l
Westerschelde;3;2020-04-30T08:25:18Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;24.91;PSU
Westerschelde;3;2020-04-30T08:25:18Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;3;2020-04-30T08:44:01Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.7;NTU
Westerschelde;3;2020-04-30T08:44:01Z;45662;45662;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;21.7;ug/l
