gebied;compartiment;datetime;X_RD;Y_RD;date_added;source;script;parameter;value;method;unit
Westerschelde;1;2009-03-26T11:25:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;2044;14C incubation;mg C/m2/d
Westerschelde;1;2009-03-26T11:25:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-03-26T11:25:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;43.631;scanfish;ug/l
Westerschelde;1;2009-03-26T11:25:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;5.54136463602027;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-03-26T11:25:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.0186892846526988;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2009-03-26T11:25:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Eopt_EP;562.950598955306;14C incubation;µmol fotonen m-2 s-1
Westerschelde;1;2009-03-26T11:25:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Kd;1.977;scanfish;/m
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;irradiance;1;NA;µmol fotonen m-2 s-1
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;1730;14C incubation;mg C/m2/d
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;35.816;scanfish;ug/l
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;5.30519880321549;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.0167759652350784;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Eopt_EP;540.961659611896;14C incubation;µmol fotonen m-2 s-1
Westerschelde;1;2009-04-09T11:30:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Kd;1.119;scanfish;/m
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;irradiance;1;NA;µmol fotonen m-2 s-1
Westerschelde;1;2009-04-23T11:50:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;1020.9999999999999;14C incubation;mg C/m2/d
