gebied;compartiment;datetime;X_RD;Y_RD;source;license;method;date_added;script;parameter;value;unit
Westerschelde;4;2016-06-13T11:25:13Z;57576;383514;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;123.4424;mg C/m2/d
Westerschelde;5;2016-06-14T13:41:36Z;60996;382388;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;418.0867;mg C/m2/d
Westerschelde;5;2016-06-14T13:54:21Z;62352;380728;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;51.59956;mg C/m2/d
Westerschelde;5;2016-06-14T14:07:16Z;63915;379159;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;89.84457;mg C/m2/d
Westerschelde;5;2016-06-14T14:34:34Z;67359;376411;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;100.335;mg C/m2/d
Westerschelde;6;2016-06-14T14:48:37Z;70017;377576;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;45.67746;mg C/m2/d
Westerschelde;6;2016-06-14T15:02:37Z;72478;378372;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;134.0596;mg C/m2/d
Westerschelde;7;2016-06-14T15:16:38Z;73488;376385;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;132.8469;mg C/m2/d
Westerschelde;7;2016-06-14T15:30:36Z;75067;374337;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;112.776;mg C/m2/d
Westerschelde;5;2016-06-27T13:14:53Z;63393;379610;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;19.15198;mg C/m2/d
Westerschelde;5;2016-06-27T13:29:49Z;65158;377331;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;48.01262;mg C/m2/d
Westerschelde;7;2016-06-27T14:32:02Z;73607;376094;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;7.586236;mg C/m2/d
Westerschelde;9;2016-06-27T14:47:08Z;75407;374108;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;32.4678;mg C/m2/d
Westerschelde;1;2016-06-29T09:14:42Z;31726;382040;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;95.09155;mg C/m2/d
Westerschelde;1;2016-06-29T09:29:22Z;35987;381524;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;51.82479;mg C/m2/d
Westerschelde;3;2016-06-29T09:41:50Z;38076;379075;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1.821586;mg C/m2/d
Westerschelde;3;2016-06-29T09:54:19Z;40189;376790;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;2.902617;mg C/m2/d
Westerschelde;3;2016-06-29T10:20:29Z;46368;374126;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;102.5626;mg C/m2/d
Westerschelde;4;2016-06-29T10:48:20Z;52755;376322;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;110.9109;mg C/m2/d
Westerschelde;4;2016-06-29T11:02:54Z;55395;378885;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;155.4133;mg C/m2/d
Westerschelde;4;2016-06-29T11:15:29Z;56210;381714;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;131.5984;mg C/m2/d
Westerschelde;4;2016-06-29T11:29:30Z;58465;383850;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;13.54884;mg C/m2/d
Westerschelde;1;2016-07-13T08:55:08Z;35212;381871;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;106.9482;mg C/m2/d
Westerschelde;3;2016-07-13T09:33:30Z;42642;375167;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;211.5137;mg C/m2/d
Westerschelde;3;2016-07-13T09:59:58Z;46205;374197;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;178.7848;mg C/m2/d
Westerschelde;3;2016-07-13T10:16:40Z;48004;374595;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;336.6791;mg C/m2/d
Westerschelde;4;2016-07-13T10:41:46Z;53345;377430;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;319.4535;mg C/m2/d
Westerschelde;4;2016-07-13T11:06:32Z;56138;381994;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;290.1021;mg C/m2/d
Westerschelde;4;2016-07-13T11:21:39Z;58612;383858;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;186.4772;mg C/m2/d
Westerschelde;1;2016-07-25T18:12:36Z;35964;381548;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;43.70194;mg C/m2/d
Westerschelde;5;2016-07-26T11:04:27Z;60028;383707;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;233.4829;mg C/m2/d
Westerschelde;5;2016-07-26T11:16:47Z;61278;382334;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;208.4067;mg C/m2/d
Westerschelde;5;2016-07-26T11:41:50Z;63761;379234;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;212.9593;mg C/m2/d
Westerschelde;5;2016-07-26T11:54:27Z;64933;377563;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;219.7635;mg C/m2/d
Westerschelde;5;2016-07-26T12:08:24Z;66597;376317;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;352.3925;mg C/m2/d
Westerschelde;5;2016-07-26T12:20:56Z;68443;376654;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;374.6594;mg C/m2/d
Westerschelde;6;2016-07-26T12:34:57Z;70670;377987;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;209.5709;mg C/m2/d
Westerschelde;7;2016-07-26T13:02:53Z;73409;376588;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;332.9293;mg C/m2/d
Westerschelde;7;2016-07-26T13:17:57Z;74542;374599;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;457.6007;mg C/m2/d
Westerschelde;5;2016-08-08T08:02:39Z;61138;382642;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;340.6465;mg C/m2/d
Westerschelde;5;2016-08-08T08:16:50Z;62706;380274;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;303.4265;mg C/m2/d
Westerschelde;5;2016-08-08T08:30:49Z;64496;378568;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;345.74;mg C/m2/d
Westerschelde;5;2016-08-08T08:54:30Z;67591;376433;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;286.9462;mg C/m2/d
Westerschelde;6;2016-08-08T09:09:45Z;70134;377695;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;305.7603;mg C/m2/d
Westerschelde;6;2016-08-08T09:24:48Z;72518;378192;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;567.4355;mg C/m2/d
Westerschelde;7;2016-08-08T09:39:54Z;73578;376050;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;715.5744;mg C/m2/d
Westerschelde;9;2016-08-08T09:55:00Z;75322;374095;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;686.3044;mg C/m2/d
Westerschelde;1;2016-08-11T07:56:15Z;35023;381886;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;80.68905;mg C/m2/d
Westerschelde;3;2016-08-11T08:11:20Z;37786;379491;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;240.1132;mg C/m2/d
Westerschelde;3;2016-08-11T08:35:51Z;41799;375559;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;395.4997;mg C/m2/d
Westerschelde;3;2016-08-11T08:50:56Z;45299;374336;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;368.2076;mg C/m2/d
Westerschelde;3;2016-08-11T09:06:03Z;46471;374098;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;299.953;mg C/m2/d
Westerschelde;3;2016-08-11T09:21:09Z;49861;374526;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;497.6546;mg C/m2/d
Westerschelde;4;2016-08-11T09:36:15Z;52881;376325;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;473.0917;mg C/m2/d
Westerschelde;4;2016-08-11T09:51:23Z;55257;378680;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;597.4536;mg C/m2/d
Westerschelde;4;2016-08-11T10:06:28Z;56366;381755;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;378.1383;mg C/m2/d
Westerschelde;4;2016-08-11T10:21:34Z;58474;383786;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;436.3805;mg C/m2/d
Westerschelde;1;2016-08-22T16:51:36Z;31649;382095;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;389.2158;mg C/m2/d
Westerschelde;1;2016-08-22T17:06:59Z;36606;380981;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;185.7308;mg C/m2/d
Westerschelde;3;2016-08-22T17:22:05Z;39346;377624;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;531.0544;mg C/m2/d
Westerschelde;3;2016-08-22T17:36:03Z;42616;375095;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;821.644;mg C/m2/d
Westerschelde;3;2016-08-22T17:51:20Z;46536;373960;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;383.5026;mg C/m2/d
Westerschelde;3;2016-08-22T18:06:40Z;50986;375050;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;304.9227;mg C/m2/d
Westerschelde;4;2016-08-22T18:22:01Z;54840;377930;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;322.9899;mg C/m2/d
Westerschelde;4;2016-08-22T18:37:07Z;56625;382078;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;208.3238;mg C/m2/d
Westerschelde;5;2016-08-23T11:39:04Z;62167;380761;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;485.9492;mg C/m2/d
Westerschelde;1;2016-09-05T16:50:09Z;35718;381691;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;254.2939;mg C/m2/d
