X_RD;Y_RD;datetime;compartiment;parameter;value;gebied;source;license;method;date_added;script;unit
54352;377479;2016-05-03T13:08:00Z;4;turbidity;13.50526316;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
54352;377479;2016-05-03T13:08:00Z;4;O2;10.47894737;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
54352;377479;2016-05-03T13:08:00Z;4;perc_O2;107.6842105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
54352;377479;2016-05-03T13:08:00Z;4;salinity;22.59368421;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
55866;380717;2016-05-03T13:23:00Z;4;chlfa;17.33;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
55866;380717;2016-05-03T13:23:00Z;4;turbidity;12.67157895;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
55866;380717;2016-05-03T13:23:00Z;4;O2;10.5;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
55866;380717;2016-05-03T13:23:00Z;4;perc_O2;107.7368421;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
55866;380717;2016-05-03T13:23:00Z;4;salinity;21.61842105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
57606;383503;2016-05-03T13:38:00Z;4;chlfa;17.08;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
57606;383503;2016-05-03T13:38:00Z;4;turbidity;10.662;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
57606;383503;2016-05-03T13:38:00Z;4;O2;10.62;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
57606;383503;2016-05-03T13:38:00Z;4;perc_O2;107.75;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
57606;383503;2016-05-03T13:38:00Z;4;salinity;19.6705;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
60770;382550;2016-05-03T16:28:00Z;5;chlfa;14.35;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
60770;382550;2016-05-03T16:28:00Z;5;turbidity;130.4026316;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
60770;382550;2016-05-03T16:28:00Z;5;O2;10.34210526;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
60770;382550;2016-05-03T16:28:00Z;5;perc_O2;102.9473684;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
60770;382550;2016-05-03T16:28:00Z;5;salinity;15.54789474;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
62802;380129;2016-05-03T16:43:00Z;5;chlfa;10.55;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
62802;380129;2016-05-03T16:43:00Z;5;turbidity;1035.800526;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
62802;380129;2016-05-03T16:43:00Z;5;O2;10.2;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
62802;380129;2016-05-03T16:43:00Z;5;perc_O2;101;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
62802;380129;2016-05-03T16:43:00Z;5;salinity;14.40631579;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
64936;377627;2016-05-03T16:59:00Z;5;chlfa;9.037;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
64936;377627;2016-05-03T16:59:00Z;5;turbidity;162.8852632;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
64936;377627;2016-05-03T16:59:00Z;5;O2;10.03684211;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
64936;377627;2016-05-03T16:59:00Z;5;perc_O2;98.47368421;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
64936;377627;2016-05-03T16:59:00Z;5;salinity;13.24263158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
67310;376348;2016-05-03T17:14:00Z;5;chlfa;8.174;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
67310;376348;2016-05-03T17:14:00Z;5;turbidity;319.3347368;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
67310;376348;2016-05-03T17:14:00Z;5;O2;10.00368421;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
67310;376348;2016-05-03T17:14:00Z;5;perc_O2;97.94736842;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
67310;376348;2016-05-03T17:14:00Z;5;salinity;12.53210526;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
69994;377509;2016-05-03T17:28:00Z;6;chlfa;6.09;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
69994;377509;2016-05-03T17:28:00Z;6;turbidity;17.49263158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
69994;377509;2016-05-03T17:28:00Z;6;O2;9.907894737;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
69994;377509;2016-05-03T17:28:00Z;6;perc_O2;96;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
69994;377509;2016-05-03T17:28:00Z;6;salinity;11.07842105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
72469;378381;2016-05-03T17:42:00Z;6;chlfa;5.762;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
72469;378381;2016-05-03T17:42:00Z;6;turbidity;30.86842105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
72469;378381;2016-05-03T17:42:00Z;6;O2;9.677894737;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
72469;378381;2016-05-03T17:42:00Z;6;perc_O2;92.94736842;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
72469;378381;2016-05-03T17:42:00Z;6;salinity;9.362105263;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
73670;375885;2016-05-03T17:57:00Z;7;chlfa;5.357;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
73670;375885;2016-05-03T17:57:00Z;7;turbidity;32.32263158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
73670;375885;2016-05-03T17:57:00Z;7;O2;9.469473684;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
73670;375885;2016-05-03T17:57:00Z;7;perc_O2;90.10526316;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
73670;375885;2016-05-03T17:57:00Z;7;salinity;8.161052632;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
75391;374070;2016-05-03T18:09:00Z;9;chlfa;5.126;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
