datetime,X_RD,Y_RD,latitude,longitude
2016-01-11T13:57:01Z,28258,381909,3.5654740801255653,51.412963245050285
2016-01-11T13:57:31Z,28229,381962,3.565038308735392,51.41343299240997
2016-01-11T13:58:01Z,28289,382059,3.5658656889577016,51.41431811660194
2016-01-11T13:58:31Z,28446,382125,3.5680981844498127,51.41494642984965
2016-01-11T13:59:01Z,28628,382140,3.570708280416157,51.41512200975589
2016-01-11T13:59:31Z,28813,382141,3.5733665165053368,51.41517239688152
2016-01-11T14:00:01Z,29019,382140,3.5763272607218606,51.41520944009281
2016-01-11T14:00:31Z,29207,382139,3.579029335288736,51.415242395734204
2016-01-11T14:01:01Z,29394,382138,3.581717043648522,51.41527506618444
2016-01-11T14:01:31Z,29600,382134,3.58467887010211,51.41528493900977
2016-01-11T14:02:02Z,29785,382132,3.5873381996226974,51.415308049316614
2016-01-11T14:02:31Z,29971,382131,3.590011549181047,51.415340306725824
2016-01-11T14:03:01Z,30175,382130,3.592943580958844,51.41537648499675
2016-01-11T14:03:31Z,30360,382129,3.5956025690446443,51.41540839304884
2016-01-11T14:04:01Z,30545,382129,3.598261208863585,51.41544922668078
2016-01-11T14:04:31Z,30748,382132,3.601177477023877,51.41552092220947
2016-01-11T14:05:01Z,30937,382133,3.603893262764421,51.41557149447847
2016-01-11T14:05:32Z,31118,382139,3.6064923305894716,51.415665178363994
2016-01-11T14:06:01Z,31298,382145,3.6090770385860105,51.41575858514357
2016-01-11T14:06:31Z,31496,382151,3.611920440431972,51.415855874736636
2016-01-11T14:07:02Z,31675,382156,3.6144911500322396,51.41593995648282
2016-01-11T14:07:32Z,31853,382160,3.6170478474819987,51.416014777087824
2016-01-11T14:08:02Z,32037,382163,3.6196911307693855,51.416081862941695
2016-01-11T14:08:32Z,32229,382165,3.6224497418271406,51.416141643313686
2016-01-11T14:09:02Z,32416,382162,3.6251382408441133,51.41615534073941
2016-01-11T14:09:32Z,32610,382159,3.6279273423963576,51.41617049455989
2016-01-11T14:10:02Z,32793,382152,3.630559745832598,51.41614725412008
2016-01-11T14:10:32Z,32983,382143,3.633293439263366,51.41610749532199
2016-01-11T14:11:01Z,33167,382132,3.635941590466276,51.41604840426291
2016-01-11T14:11:31Z,33348,382122,3.6385462763352363,51.415997592607546
2016-01-11T14:12:01Z,33533,382107,3.641210164286615,51.415902652013344
2016-01-11T14:12:31Z,33698,382089,3.643587644495383,51.415776392268796
2016-01-11T14:13:01Z,33882,382063,3.6462409149605435,51.41558227154321
2016-01-11T14:13:31Z,34051,382033,3.6486799646366292,51.415348929781025
2016-01-11T14:14:01Z,34233,382001,3.6513065009423102,51.41510034651285
2016-01-11T14:14:32Z,34409,381968,3.653847123856015,51.414841435317264
2016-01-11T14:15:01Z,34586,381945,3.6563986770787147,51.41467254624541
2016-01-11T14:15:31Z,34768,381930,3.6590193417116135,51.41457655808332
2016-01-11T14:16:01Z,34958,381907,3.6617576866684542,51.414410321354026
2016-01-11T14:16:31Z,35157,381859,3.6646338429082244,51.41402127036446
