date;STN;PPFD_24h;DLI_mol;hours_day;PPFD_daylight
1990-01-01;310;64.92708333333333;5.6097;7.714298107707737;201.99504585427871
1990-01-02;310;24.437499999999996;2.1113999999999997;7.733153941937255;75.8422765670528
1990-01-03;310;23.23958333333333;2.0078999999999994;7.753531513055227;71.93496267615247
1990-01-04;310;10.541666666666664;0.9107999999999997;7.775411432254224;32.53847107697695
1990-01-05;310;56.06249999999999;4.843799999999999;7.7987731408678425;172.5271367299028
1990-01-06;310;27.312499999999996;2.3597999999999995;7.823594980656074;83.78501208469137
1990-01-07;310;21.80208333333333;1.8836999999999995;7.849854266207194;66.65728843560022
1990-01-08;310;10.78125;0.9315;7.8775273589724;32.84660125049101
1990-01-09;310;38.8125;3.3534;7.906589742457552;117.81311922609862
1990-01-10;310;21.5625;1.863;7.937016098109355;65.20082529796954
1990-01-11;310;32.58333333333333;2.8151999999999995;7.968780381450085;98.13295919415197
1990-01-12;310;23.958333333333336;2.0700000000000003;8.001855898035966;71.85832978336092
1990-01-13;310;41.44791666666667;3.5811000000000006;8.036215378837872;123.7833921947289
1990-01-14;310;42.16666666666666;3.643199999999999;8.071831054669673;125.3742791624142
1990-01-15;310;10.78125;0.9315;8.108674729317851;31.91027000558543
1990-01-16;310;21.322916666666668;1.8423;8.14671785105619;62.816708440891155
1990-01-17;310;77.86458333333333;6.7275;8.18593158226005;228.28800622397307
1990-01-18;310;124.82291666666666;10.7847;8.226286866866507;364.16794703162566
1990-01-19;310;49.114583333333336;4.2435;8.267754495457966;142.5719644490613
1990-01-20;310;109.48958333333334;9.4599;8.310305167778115;316.20379119032623
1990-01-21;310;50.552083333333336;4.3677;8.353909552519596;145.23140241973
1990-01-22;310;26.354166666666664;2.277;8.398538344252254;75.31072361333766
1990-01-23;310;11.260416666666668;0.9729000000000001;8.444162317388937;32.00435873236097
1990-01-24;310;94.87499999999999;8.197199999999999;8.490752377112662;268.17411447986535
1990-01-25;310;30.906249999999996;2.6702999999999997;8.538279607213832;86.87347265757252
1990-01-26;310;103.26041666666666;8.9217;8.58671531480969;288.6144362706086
1990-01-27;310;76.90625;6.6447;8.636031071939275;213.72665112302857
1990-01-28;310;90.5625;7.8246;8.686198754046945;250.22452991734215
1990-01-29;310;100.14583333333331;8.652599999999998;8.73719057538476;275.0884256515323
1990-01-30;310;86.01041666666667;7.4313;8.7889791213799;234.86800588461358
1990-01-31;310;62.53124999999999;5.402699999999999;8.841537378026768;169.73858004940465
1990-02-01;310;143.51041666666669;12.399300000000002;8.894838758375618;387.2189360101444
1990-02-02;310;75.94791666666667;6.5619;8.94885712619941;203.68522754303083
1990-02-03;310;19.885416666666668;1.7181;9.00356681692939;53.00677050595412
1990-02-04;310;125.30208333333331;10.826099999999999;9.05894265595655;331.9647903966623
1990-02-05;310;174.17708333333334;15.0489;9.114959974402;458.61419158609647
1990-02-06;310;149.02083333333334;12.8754;9.171594622462973;389.95399897423226
1990-02-07;310;37.37500000000001;3.2292000000000005;9.228822980444635;97.19549306565892
1990-02-08;310;130.57291666666666;11.2815;9.286621967589253;337.44778358987094
1990-02-09;310;178.72916666666669;15.442200000000001;9.344969048815475;459.0170366100589
1990-02-10;310;53.42708333333333;4.6161;9.403842239480138;136.35383998858802
1990-02-11;310;140.63541666666666;12.1509;9.4632201082744;356.67034702582544
1990-02-12;310;105.89583333333331;9.149399999999998;9.523081778364343;266.8778930129612
1990-02-13;310;105.17708333333331;9.087299999999997;9.58340692688408;263.3979772807922
1990-02-14;310;68.76041666666667;5.9409;9.644175782886947;171.11363761414185
1990-02-15;310;111.64583333333331;9.646199999999999;9.705369123857059;276.0842957959672
1990-02-16;310;226.88541666666663;19.602899999999995;9.766968270880444;557.5169130255746
1990-02-17;310;80.5;6.9552;9.82895508257101;196.5620947262114
1990-02-18;310;44.32291666666667;3.8295000000000003;9.891311947842956;107.54387341226023
1990-02-19;310;117.63541666666666;10.1637;9.954021777617161;283.6290760733942
1990-02-20;310;143.51041666666669;12.399300000000002;10.017067995544782;343.83813722057937
1990-02-21;310;169.86458333333334;14.6763;10.080434527827384;404.4220503338415
1990-02-22;310;247.48958333333331;21.3831;10.14410579220839;585.5370716423598
1990-02-23;310;235.03124999999997;20.306699999999996;10.208066686206703;552.5776989311667
1990-02-24;310;175.61458333333334;15.1731;10.27230257465887;410.30236106922376
1990-02-25;310;114.76041666666666;9.9153;10.336799276632359;266.4509512365525
1990-02-26;310;153.33333333333334;13.248;10.401543051768192;353.7936613524303
1990-02-27;310;206.52083333333331;17.8434;10.466520586107462;473.5575647344464
1990-02-28;310;35.458333333333336;3.0636;10.531718977452307;80.8035233205456
1990-03-01;310;203.40624999999997;17.574299999999997;10.597125720308306;460.66736668459305
1990-03-02;310;174.65625;15.0903;10.662728690451688;393.12169723999904
1990-03-03;310;239.10416666666663;20.658599999999996;10.728516129161335;534.8829167905243
1990-03-04;310;94.63541666666667;8.1765;10.79447662715234;210.40853377614587
1990-03-05;310;187.83333333333334;16.2288;10.860599108244752;415.07839071030446
1990-03-06;310;171.0625;14.7798;10.926872812798305;375.72506519810094
1990-03-07;310;203.88541666666663;17.615699999999997;10.993287280940914;445.112537765063
1990-03-08;310;212.51041666666669;18.3609;11.059832335616587;461.1507521298839
1990-03-09;310;243.41666666666666;21.0312;11.126498065475252;525.0528931584789
